Open,High,Low,Adj Close,Volume
3.125,3.302083,3.125,3.145833,219600
3.125,3.125,2.9375,3.03125,727200
3.03125,3.083333,3.020833,3.041667,295200
3.041667,3.0625,3.010417,3.010417,159600
3.010417,3.020833,2.90625,2.916667,130800
2.916667,2.916667,2.635417,2.666667,436800
2.666667,2.75,2.552083,2.604167,645600
2.604167,2.604167,2.427083,2.447917,466800
2.375,2.375,2.239583,2.375,1129200
2.458333,2.583333,2.458333,2.541667,666000
2.541667,2.583333,2.520833,2.541667,430800
2.583333,2.770833,2.583333,2.739583,492000
2.739583,2.739583,2.614583,2.625,283200
2.625,2.635417,2.604167,2.635417,226800
2.614583,2.614583,2.53125,2.541667,355200
2.541667,2.625,2.5,2.59375,765600
2.59375,2.666667,2.583333,2.666667,134400
2.666667,2.739583,2.65625,2.739583,174000
2.739583,2.770833,2.635417,2.635417,109200
2.635417,2.645833,2.5,2.5625,267600
2.5625,2.5625,2.520833,2.5625,505200
2.5625,2.572917,2.34375,2.354167,358800
2.354167,2.427083,2.270833,2.427083,696000
2.427083,2.46875,2.3125,2.322917,342000
2.322917,2.364583,2.28125,2.291667,498000
2.375,2.604167,2.375,2.5625,880800
2.59375,2.729167,2.59375,2.614583,588000
2.614583,2.8125,2.614583,2.78125,733200
2.760417,2.760417,2.6875,2.708333,343200
2.71875,2.791667,2.71875,2.729167,372000
2.729167,2.729167,2.635417,2.666667,270000
2.625,2.625,2.541667,2.552083,273600
2.541667,2.541667,2.458333,2.458333,505200
2.458333,2.46875,2.416667,2.46875,282000
2.5,2.604167,2.5,2.604167,302400
2.604167,2.729167,2.583333,2.6875,386400
2.6875,2.708333,2.65625,2.6875,138000
2.6875,2.6875,2.604167,2.604167,225600
2.583333,2.583333,2.53125,2.541667,128400
2.541667,2.614583,2.520833,2.614583,180000
2.65625,2.708333,2.65625,2.6875,213600
2.697917,2.78125,2.697917,2.770833,345600
2.770833,2.770833,2.729167,2.729167,292800
2.729167,2.739583,2.645833,2.666667,135600
2.666667,2.708333,2.666667,2.6875,66000
2.6875,2.75,2.677083,2.75,453600
2.75,2.802083,2.739583,2.78125,512400
2.8125,2.916667,2.8125,2.916667,499200
2.916667,2.989583,2.895833,2.989583,411600
3,3.0625,3,3.010417,247200
3.010417,3.145833,3,3.145833,458400
3.145833,3.208333,3.072917,3.083333,618000
3.083333,3.166667,3.03125,3.166667,298800
3.166667,3.166667,3.104167,3.104167,208800
3.083333,3.083333,3.010417,3.020833,283200
3.020833,3.072917,3,3.072917,218400
3.072917,3.125,3.020833,3.020833,147600
3.020833,3.0625,2.96875,3,428400
3,3.0625,2.864583,2.864583,426000
2.864583,2.96875,2.864583,2.96875,464400
2.96875,3.052083,2.958333,3.052083,182400
3.052083,3.104167,3.020833,3.09375,404400
3.09375,3.104167,3.072917,3.09375,67200
3.09375,3.09375,3.03125,3.03125,242400
