Open,High,Low,Adj Close,Volume
1.710938,1.722656,1.708984,0.020163,832000
1.71875,1.730469,1.708984,0.020254,518400
1.722656,1.722656,1.707031,0.020163,480000
1.722656,1.75,1.722656,0.020484,710400
1.746094,1.773438,1.742188,0.020713,531200
1.765625,1.765625,1.753906,0.020667,262400
1.761719,1.761719,1.75,0.020529,371200
1.75,1.753906,1.742188,0.020438,409600
1.75,1.792969,1.75,0.020529,595200
1.75,1.757813,1.746094,0.020529,390400
1.761719,1.796875,1.761719,0.020758,409600
1.765625,1.765625,1.75,0.020694,512000
1.757813,1.767578,1.757813,0.020763,268800
1.759766,1.773438,1.75,0.020901,678400
1.771484,1.816406,1.751953,0.021385,902400
1.804688,1.804688,1.757813,0.02074,2892800
1.757813,1.761719,1.734375,0.020464,531200
1.738281,1.75,1.738281,0.02051,147200
1.738281,1.748047,1.726563,0.020371,825600
1.726563,1.726563,1.714844,0.020325,416000
1.728516,1.748047,1.728516,0.020464,435200
1.734375,1.738281,1.71875,0.020279,2451200
1.722656,1.763672,1.722656,0.020648,1235200
1.75,1.765625,1.75,0.020694,384000
1.753906,1.763672,1.746094,0.02074,454400
1.757813,1.789063,1.753906,0.021017,531200
1.78125,1.804688,1.771484,0.021201,640000
1.796875,1.796875,1.789063,0.021155,288000
1.792969,1.796875,1.78125,0.021201,659200
1.800781,1.816406,1.800781,0.021385,793600
1.808594,1.808594,1.78125,0.021109,1548800
1.789063,1.824219,1.789063,0.021132,435200
1.789063,1.789063,1.710938,0.020371,1542400
1.724609,1.724609,1.681641,0.019911,1299200
1.6875,1.695313,1.671875,0.020003,2060800
1.695313,1.705078,1.691406,0.019957,844800
1.691406,1.699219,1.679688,0.020049,985600
1.699219,1.707031,1.675781,0.019911,2892800
1.65625,1.65625,1.648438,0.019473,1747200
1.65625,1.71875,1.65625,0.020141,1171200
1.707031,1.738281,1.707031,0.020233,1542400
1.714844,1.726563,1.703125,0.020371,876800
1.726563,1.732422,1.71875,0.020325,1075200
1.722656,1.726563,1.710938,0.020187,1523200
1.703125,1.703125,1.6875,0.020095,384000
1.703125,1.712891,1.703125,0.020118,275200
1.705078,1.716797,1.705078,0.020256,428800
1.716797,1.71875,1.712891,0.020256,806400
1.716797,1.71875,1.714844,0.020279,1011200
1.71875,1.726563,1.703125,0.020095,1644800
1.699219,1.699219,1.648438,0.019542,2316800
1.65625,1.683594,1.652344,0.019565,1139200
1.664063,1.691406,1.664063,0.019818,518400
1.679688,1.691406,1.65625,0.019588,262400
1.660156,1.679688,1.658203,0.019818,339200
1.675781,1.675781,1.660156,0.019588,192000
1.666016,1.675781,1.666016,0.019772,198400
1.675781,1.761719,1.675781,0.020095,1760000
1.703125,1.714844,1.695313,0.020095,422400
1.6875,1.6875,1.660156,0.019864,531200
1.683594,1.703125,1.681641,0.020095,243200
1.71875,1.734375,1.71875,0.020371,806400
1.726563,1.730469,1.71875,0.020279,467200
1.71875,1.724609,1.71875,0.020279,166400
1.71875,1.734375,1.710938,0.02021,256000
1.712891,1.722656,1.710938,0.020256,627200
1.714844,1.714844,1.707031,0.020164,102400
1.708984,1.714844,1.699219,0.020095,371200
1.703125,1.703125,1.691406,0.019957,307200
1.691406,1.691406,1.671875,0.019726,467200
1.671875,1.673828,1.644531,0.019726,537600
1.671875,1.679688,1.648438,0.019588,793600
1.65625,1.65625,1.634766,0.019288,544000
1.634766,1.675781,1.626953,0.019772,620800
1.675781,1.6875,1.664063,0.019763,339200
1.664063,1.669922,1.642578,0.019508,390400
1.642578,1.648438,1.625,0.019299,697600
1.613281,1.613281,1.587891,0.018928,435200
1.59375,1.609375,1.59375,0.019021,262400
1.601563,1.609375,1.527344,0.018464,1542400
1.554688,1.585938,1.548828,0.01858,652800
1.564453,1.585938,1.5625,0.018742,627200
1.578125,1.585938,1.546875,0.018487,268800
1.556641,1.570313,1.539063,0.018278,390400
1.53125,1.53125,1.5,0.017815,1241600
1.484375,1.484375,1.445313,0.017443,870400
1.46875,1.515625,1.46875,0.017536,1472000
1.482422,1.519531,1.482422,0.018046,716800
1.515625,1.515625,1.488281,0.017675,492800
1.488281,1.488281,1.472656,0.01749,224000
1.460938,1.460938,1.445313,0.017235,512000
1.441406,1.441406,1.423828,0.017119,838400
1.439453,1.439453,1.431641,0.017072,448000
1.445313,1.505859,1.445313,0.017884,646400
1.505859,1.515625,1.494141,0.017861,556800
1.5,1.5,1.4375,0.017165,691200
1.4375,1.4375,1.40625,0.016701,966400
1.40625,1.40625,1.375,0.016469,611200
1.375,1.375,1.339844,0.015959,518400
1.332031,1.332031,1.296875,0.015402,467200
1.289063,1.289063,1.253906,0.014938,662400
1.273438,1.398438,1.273438,0.016423,508800
1.410156,1.5,1.410156,0.017351,566400
1.460938,1.554688,1.40625,0.018186,275200
1.53125,1.5625,1.515625,0.018093,489600
1.523438,1.5625,1.484375,0.017907,377600
1.507813,1.515625,1.492188,0.017954,294400
1.515625,1.539063,1.515625,0.018,316800
1.5,1.5,1.472656,0.017629,441600
